TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test1;5;USED;9.80;2239815;2.13;8.28;18.48;true;6.17;0.10;1.32;5.54;0.81;2.71;6.99;2.50;4.04;;;;;;;3302
Test2;5;USED;10.01;2239815;2.26;8.83;21.97;true;6.16;0.10;1.31;5.54;0.83;2.71;7.00;2.49;4.03;6.81;2.31;3.95;2.64;1.77;2.19;3302
Test3;5;USED;9.20;2239815;2.23;8.10;18.48;true;6.15;0.09;1.31;5.54;0.81;2.71;6.97;2.49;4.03;2.84;0.97;1.88;2.52;1.57;2.08;3302
Test4;50;USED;189.75;32095088;0.74;3.27;29.38;true;146.89;0.11;97.64;136.04;18.70;65.17;184.08;135.53;162.81;;;;;;;1910
Test5;50;NOT USED;461.96;32095088;0.71;0.72;0.77;true;3.31;0.12;0.27;451.56;451.30;451.38;454.63;451.45;451.66;;;;;;;573
Test6;75;USED;125.67;15890720;0.79;2.49;13.75;true;86.33;0.12;59.15;71.71;27.67;42.96;121.45;71.68;102.11;;;;;;;1791
Test7;5;USED;9.53;2239815;2.23;9.12;22.27;true;6.18;0.10;1.32;5.54;0.84;2.72;7.02;2.50;4.05;;;;;;;3302
Test8;10;USED;16.61;2239815;1.33;15.05;47.28;true;6.27;0.10;3.17;6.96;1.99;3.40;13.16;3.37;6.58;;;;;;;2606
Test9;5;USED;9.49;2239815;2.39;9.26;23.87;true;6.17;0.10;1.32;5.55;0.85;2.72;7.02;2.50;4.04;;;;;;;3302
Test10;20;USED;22.85;2239815;1.13;9.03;40.03;true;9.37;0.10;5.44;9.24;2.29;5.51;18.57;4.71;10.96;;;;;;;1964
Test11;5;USED;9.50;2239815;2.32;8.88;22.27;true;6.18;0.10;1.32;5.55;0.84;2.71;7.02;2.49;4.04;;;;;;;3302
Test12;5;USED;9.69;2239815;2.13;8.74;21.10;true;6.17;0.10;1.32;5.54;0.83;2.71;7.00;2.50;4.04;;;;;;;3302
Test13;5;NOT USED;8.68;2239815;2.19;4.32;5.15;true;0.12;0.10;0.11;5.54;3.14;3.63;5.67;3.24;3.74;;;;;;;3302
Test14;5;NOT USED;8.43;2239815;2.37;4.55;6.05;true;0.13;0.11;0.12;5.55;3.14;3.63;5.68;3.26;3.76;;;;;;;3302
Test15;10;NOT USED;10.10;2239815;1.68;1.97;2.81;true;0.13;0.10;0.11;6.99;6.29;6.38;7.10;6.39;6.49;;;;;;;2606
Test16;5;NOT USED;8.07;2239815;2.26;4.19;5.42;true;0.11;0.10;0.11;5.54;3.13;3.62;5.65;3.24;3.73;;;;;;;3302
Test17;5;NOT USED;8.37;2239815;2.65;4.45;5.39;true;0.11;0.10;0.11;5.57;3.14;3.63;5.68;3.24;3.74;;;;;;;3302
Test18;10;NOT USED;10.61;2239815;1.67;2.02;3.06;true;0.21;0.13;0.16;6.99;6.29;6.38;7.14;6.43;6.54;;;;;;;2606
Test19;5;NOT USED;8.11;2239815;2.15;4.31;4.95;true;0.13;0.11;0.12;5.54;3.14;3.62;5.67;3.26;3.75;;;;;;;3302
Test20;10;NOT USED;10.35;2239815;1.68;2.04;2.87;true;0.15;0.11;0.13;6.99;6.29;6.38;7.13;6.41;6.51;;;;;;;2606
Test21;20;NOT USED;18.38;2239815;1.05;1.20;1.37;true;0.15;0.11;0.13;13.02;12.98;12.99;13.17;13.10;13.13;;;;;;;1395
Test22;5;NOT USED;8.39;2239815;2.45;4.67;5.35;true;0.14;0.12;0.13;5.55;3.15;3.64;5.70;3.28;3.77;;;;;;;3302
Test23;10;NOT USED;10.46;2239815;1.65;1.98;2.82;true;0.16;0.11;0.13;6.98;6.29;6.38;7.12;6.40;6.51;;;;;;;2606
